time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
20.310032,0.035376,0.070282,-0.001759
20.350017,0.089380,0.031809,-0.056475
20.390034,0.015372,0.050023,0.097502
20.420029,-0.122429,0.160101,0.175069
20.450031,-0.019353,0.079901,0.200247
20.490025,0.150658,-0.024960,0.206041
20.520014,0.085396,-0.005736,0.434813
20.550001,0.138846,-0.033451,0.182490
20.579999,0.073051,-0.019471,0.239212
20.609998,0.161618,-0.090996,0.031515
20.650020,0.042558,-0.095026,0.099903
20.680001,0.009970,-0.088446,-0.123362
20.720016,0.023499,-0.023532,0.052220
20.750011,0.155777,-0.078097,-0.156462
20.779984,0.011527,-0.030929,-0.025816
20.830007,0.038990,-0.088556,-0.032550
20.860009,0.204870,-0.045159,-0.156293
20.890007,0.162474,0.046639,-0.198517
20.920006,0.064518,-0.010741,-0.131495
20.950004,0.094034,-0.022667,0.138753
20.980003,0.103964,-0.073948,0.314766
21.020000,0.157962,-0.112420,0.257913
21.049999,0.005387,-0.154867,0.556886
21.089996,0.257758,-0.218199,0.284019
21.129993,0.037296,-0.214493,0.259517
21.149984,0.010061,-0.194063,0.029916
21.189982,0.039113,-0.162003,-0.261605
21.219981,0.022743,-0.237635,-0.306892
21.249980,-0.016848,-0.247114,-0.361427
21.279979,0.140112,-0.210031,-0.612349
21.309977,0.075109,-0.133074,-0.719826
21.349983,0.195106,-0.070358,-0.899011
21.399974,0.090960,0.031179,-0.950783
21.429978,0.079012,0.172939,-0.838881
21.459977,0.134963,0.154583,-0.622097
21.489970,0.083919,0.166246,-0.258743
21.519973,0.113873,0.289716,0.000497
21.559964,0.081532,0.312079,0.197225
21.579970,0.141351,0.239378,0.346396
21.619949,0.104299,0.219160,0.441387
21.649945,0.122533,0.250030,0.450100
21.679947,0.190270,0.141143,0.440938
21.729963,0.104199,0.057040,0.596492
21.759960,0.160539,0.040036,0.229902
21.779958,0.201657,0.020810,0.116529
21.819957,0.190443,0.012395,-0.063017
21.849956,0.203815,-0.006758,-0.197751
21.879953,0.113821,0.032828,-0.073571
