time_tick,acc_X_value,acc_Y_value,acc_Z_value
15.310798,0.221771,-1.703236,-7.845630
15.344483,-0.055518,-5.597694,-5.610413
15.378140,1.810979,-1.942814,-14.776493
15.410727,1.638441,-3.054661,-11.540314
15.444459,1.103018,-3.672836,-9.466862
15.478118,1.399910,-2.441275,-7.604555
15.510545,-0.262025,-2.897387,-8.613298
15.544393,1.211060,-4.931034,-8.399908
15.578139,0.189448,-4.945849,-8.526505
15.610531,0.809269,-3.402132,-10.652483
15.644468,1.289922,-2.057591,-11.947044
15.678551,1.870686,-2.525674,-12.349583
15.710557,-2.757770,-3.712492,-8.646220
15.744152,0.751657,-4.397557,-7.743274
15.778139,-2.361964,-4.750864,-5.442813
15.810798,-1.697250,-3.563597,-11.661226
15.844454,-2.727392,-4.913975,-6.951513
15.878117,-0.730707,-3.538307,-6.351595
15.911073,-0.493822,-1.966159,-9.967268
15.944452,3.419491,-4.512932,-9.950208
15.978137,0.518812,4.268565,-13.319120
16.017643,0.214588,-7.416604,-6.350996
16.044130,-0.959660,-2.574906,-8.992494
16.078057,0.791013,-4.760441,-8.815765
16.111414,2.653020,-4.454422,-9.555001
16.144503,0.770661,-6.419533,-5.271622
16.178135,1.115439,-4.230256,-6.999100
16.210891,0.094574,-2.719910,-11.536274
16.244466,1.941767,-1.880413,-10.513614
16.278138,0.478109,-3.920645,-9.439627
16.310847,-0.510582,-2.872097,-8.878915
16.344499,-1.568258,-6.898540,-7.025886
16.378350,-0.304074,-7.418848,-6.815189
16.410821,2.018234,-0.279533,-17.511367
16.444432,-0.421694,-1.080871,-9.733077
16.478139,-0.132434,-0.751956,-10.895653
16.510625,1.774167,-8.650559,-2.971460
16.544258,-1.500470,-0.158622,-11.448883
16.578266,1.221236,-0.848625,-6.270488
16.610583,-1.715058,-5.872289,-7.824680
16.644571,1.228868,-5.738957,-8.251013
16.678112,-0.183762,-0.284322,-18.216186
16.710418,0.750908,-5.531552,-11.822391
16.744219,-0.561311,-5.452989,-3.927678
16.778824,-0.881996,-2.663644,-14.244213
16.811161,0.080658,-5.858372,-9.324252
16.844689,-0.434264,-3.324019,-12.437424
16.878477,-1.499572,-4.225169,-8.119477
16.911118,3.176471,1.132199,-9.990163
16.944186,4.526101,-1.987857,-13.122639
16.978123,-3.729252,-2.194364,-3.937106
17.011833,2.835883,-3.709649,-11.210052
17.044699,4.158577,-3.743917,-10.322071
17.078049,0.402839,-4.476718,-13.594762
17.110644,2.093954,-3.428918,-12.691069
17.144320,0.401791,-4.629953,-5.805548
17.178048,-1.598486,-6.413248,-9.704495
17.211424,-3.533369,-2.104429,-12.734615
17.244508,-2.056992,-1.693060,-9.746245
17.278140,1.761297,-6.885371,-6.448414
17.310817,-3.932766,-9.018382,-12.328783
17.344560,-3.618366,-5.526464,-5.884260
17.378115,0.387426,2.894992,-6.737225
17.410787,-0.230151,-3.977809,-11.971885
17.444188,-0.775749,-7.406578,-8.028943
17.478116,-1.714759,-5.526314,-12.992150
17.510642,3.421137,-1.907948,-10.478448
17.544238,4.235045,-5.085167,-2.748043
17.578144,2.865962,-8.634847,-6.997454
17.610459,4.163067,-8.393024,-7.761680
17.644132,1.325238,-1.952541,-10.514063
17.678114,1.406344,-2.260057,-9.184486
17.710616,2.865363,-2.435140,-14.564748
17.744386,5.187822,-3.450018,-13.675420
17.778136,3.034609,-4.052630,-12.390436
17.810591,0.732652,-0.153234,-7.996171
17.844388,-0.227008,-4.340094,-7.753749
17.878136,-3.812753,-3.570181,-11.620822
17.910456,-0.389820,-1.689170,-9.849050
17.944458,0.038758,-4.185962,-11.015517
17.978113,-2.113707,-0.453717,-7.537216
18.011254,-4.887488,-3.155820,-7.120011
18.044817,-1.698148,-4.462203,-8.371475
18.078049,1.168262,-2.764055,-7.945891
18.111066,-1.656547,-0.712600,-10.086982
18.144164,-1.294411,0.440100,-9.275169
18.177477,-0.560263,-5.155499,-8.921563
18.211361,1.919919,-4.306425,-8.384794
18.244376,-1.090598,-4.348923,-10.134419
18.278112,-1.509598,-3.771302,-9.976097
18.311381,-1.050194,-2.779318,-8.997581
18.344101,-0.630146,-2.843066,-9.519835
18.377936,0.655137,-2.528218,-8.292015
18.410771,-0.259780,-4.085701,-9.279658
18.444384,-0.837103,-3.598913,-10.533966
18.478120,-0.339689,-3.152378,-9.603935
18.510848,1.622429,-2.851596,-9.979090
18.544788,0.353606,-1.327782,-11.011476
18.578085,-0.505045,-2.029907,-8.348879
18.611465,0.435611,-2.987472,-11.513977
18.644059,-0.047736,-4.497519,-9.439926
18.678061,-0.668754,-3.181559,-7.848773
18.711112,1.172153,-3.090426,-8.942214
18.744176,-1.285433,-2.880028,-10.724162
18.778042,0.647206,-2.312283,-8.287376
18.811405,1.431634,-2.914446,-8.806038
18.844393,2.410000,-3.485334,-7.591387
18.878126,0.301979,-3.873059,-8.874425
18.910525,0.952926,-3.020992,-9.347896
18.944453,-0.514921,-2.567274,-9.190621
18.978138,1.330775,-2.720658,-8.070244
19.011148,2.103980,-2.658407,-9.622640
19.044457,1.348283,-4.275449,-7.862091
19.078118,2.150220,-3.239022,-9.248533
19.111406,-0.728312,-4.790669,-7.343129
19.144458,-0.781735,-3.793598,-7.293597
19.178137,1.091945,-3.118559,-8.541021
19.212068,1.257749,-4.275748,-9.223991
19.244212,-0.607251,-3.833553,-31.749445
19.278139,-7.830815,-10.128284,-0.275193
19.317880,1.408290,-4.534181,-10.683609
19.344076,3.688998,-5.206976,-10.733589
19.378102,-2.271281,0.320535,-6.520542
19.411375,5.446405,-1.309226,-11.180124
19.444722,-2.060434,-0.560712,-8.337207
19.478114,0.414960,-13.331690,-13.597456
19.510807,1.876223,-5.054939,-10.813499
19.544494,-4.019410,-8.758602,-5.509853
19.578260,2.515199,-1.597289,-5.300503
19.610746,1.958826,-4.677988,-8.506154
19.644399,-1.329129,-4.340843,-7.204560
19.678110,1.602975,-2.062678,-13.835388
19.710619,0.088140,-2.104578,-7.398647
19.744106,-2.836632,-1.908247,-9.788444
19.778111,0.558767,-4.653896,-10.178564
19.810600,-1.687524,-3.480246,-7.917608
19.844448,-0.682671,-2.525075,-7.773652
19.878156,2.874491,-6.484029,-9.419874
19.910454,3.502543,-7.253942,-10.041790
19.944202,1.117833,-1.066505,-10.110326
19.978368,-2.607528,-1.262388,-4.889733
20.011245,2.149920,-1.222284,-8.433278
20.044307,0.232994,-2.489310,-7.489330
20.078326,0.134679,-6.339175,-7.472271
20.111130,-1.076681,-1.627816,-15.449886
20.144452,-2.733977,-7.121059,-1.896126
20.178140,-3.038201,-6.216767,-9.240751
20.211330,0.971781,0.442195,-7.760783
20.244189,-0.510133,-5.496984,-4.308220
20.278138,-0.029929,-5.019922,-14.880046
20.312152,-0.366925,-4.894522,-1.272863
20.344235,1.418017,-14.648698,-12.542024
20.378115,-3.019046,-2.317969,-9.167576
20.417791,-2.311086,-4.834814,-7.040102
20.444445,1.195498,-0.679379,-14.664410
20.478047,3.299926,-4.400700,-1.308777
20.511395,-1.231262,-0.912972,-8.291416
20.544680,-0.505344,-1.245778,-13.281859
20.578378,0.783231,-5.759009,-6.931461
20.610772,-0.420347,-5.641389,-2.680853
20.644176,3.448821,-4.197634,-17.710392
20.678128,-2.701354,-8.422504,-8.359504
